node_id,lat,lon
37337271,48.3297848,19.6591897
37345388,48.3299322,19.6634799
37345423,48.33102,19.6715451
37345472,48.34242,19.6824231
37345478,48.3314874,19.6594682
37345481,48.3313854,19.6609027
37351018,48.3328321,19.6611138
37351019,48.3340263,19.6612894
37351026,48.3351136,19.6614246
37351027,48.3371947,19.6608609
37351035,48.3370588,19.6609038
37351130,48.337799,19.6558665
37351135,48.3462928,19.6490928
37515895,48.3510511,19.5849739
37515902,48.3520354,19.5801388
37515904,48.3518647,19.5795698
37515911,48.3512977,19.5785725
37515916,48.353948,19.573952
37515920,48.3548082,19.5729753
37515929,48.3567738,19.5716912
37524886,48.3635106,19.5534397
37524989,48.4052871,19.4966822
39197376,48.3788786,19.6370899
39290758,48.3886324,19.6873174
39290763,48.3955383,19.705248
39290771,48.3968194,19.7078889
39290779,48.4011236,19.7169779
39290805,48.4178137,19.7346104
39290807,48.4186314,19.7359148
39290810,48.4191683,19.7364331
39290816,48.4193253,19.7372
39290817,48.419538,19.7381813
39290888,48.4295654,19.7706926
39290892,48.4302828,19.7743209
39290896,48.4313176,19.7768433
39290913,48.4276262,19.7851658
39290918,48.4326016,19.793195
39290923,48.4331979,19.7939344
39290928,48.4353025,19.7931467
39290929,48.4364697,19.7926994
39290934,48.4391618,19.7927352
39290974,48.4796377,19.8039658
39290979,48.4820988,19.8048473
39290984,48.4834402,19.8049232
39320041,48.4314078,19.7726271
39320044,48.4299247,19.7704951
39320096,48.5029332,19.6777152
39320097,48.5020149,19.6779509
39320098,48.5017136,19.6781462
39320105,48.5001841,19.6788094
39320114,48.497732,19.6799792
39320115,48.497528,19.6804812
39320121,48.4973444,19.6813323
39320126,48.496416,19.6815722
39320131,48.4955067,19.6819803
39320132,48.492984,19.6839381
39320143,48.4753204,19.6964077
39320151,48.4692776,19.7011838
39320167,48.4488982,19.7369546
39320170,48.4481408,19.7407554
39320172,48.4481689,19.7413868
39324305,48.349763,19.7053648
39329880,48.3418957,19.6835705
43015784,48.3895504,19.7042338
43303545,48.3318309,19.6461134
43303561,48.3316232,19.6470502
43303566,48.3313989,19.6480844
43303573,48.3310522,19.6495397
43303580,48.3295415,19.6460824
43303587,48.3293378,19.6471126
43303592,48.3290552,19.6485986
43303596,48.3305435,19.6518936
43303602,48.3286307,19.6508597
43303609,48.3299558,19.6546374
43303612,48.3279781,19.6541588
43303620,48.3277736,19.6552102
43303626,48.3298809,19.6556689
43303632,48.3288287,19.6543641
43303637,48.3295005,19.6513279
43303641,48.330024,19.6490421
43303646,48.3303294,19.6475851
43303652,48.3305475,19.6465643
43303697,48.3307656,19.645561
43468273,48.3262132,19.6584596
43468278,48.3255869,19.6556703
43468285,48.3255433,19.651814
43468294,48.3259143,19.6556599
43468303,48.3247014,19.6556746
43489936,48.3248447,19.6516536
43489938,48.3268592,19.6521704
43489943,48.324593,19.6609056
43489951,48.3246984,19.6596513
43489958,48.3247173,19.6584651
43489964,48.3247014,19.6568786
43489972,48.3255683,19.6500798
43490025,48.3244034,19.6584782
43490028,48.3237467,19.6585408
43490034,48.3253732,19.659653
43490040,48.3242734,19.6607541
43490045,48.3236871,19.6606869
43490050,48.3259267,19.6616428
43490061,48.3233517,19.663757
43490070,48.3234189,19.6637623
43490133,48.321229,19.6626543
43490136,48.3252632,19.6647698
43490142,48.3230697,19.665857
43490150,48.3247075,19.6656923
